company,count
Amazon,1647
Freelance,636
Kaiser Permanente,562
U.S. Bank,332
University of Wisconsin-Madison,244
Northwestern Mutual,200
Self-Employed,190
Genentech,175
Florida State University,165
Virginia Tech,153
State Farm,148
Duke Energy Corporation,135
University of South Florida,131
HCA Healthcare,130
Whirlpool Corporation,127
Oklahoma State University,125
University of North Texas,117
University of Connecticut,111
BD,103
The Kraft Heinz Company,100
Texas State University,99
NASA - National Aeronautics and Space Administration,98
University of North Carolina at Charlotte,96
University of Nebraska-Lincoln,94
Georgia Institute of Technology,91
The George Washington University,88
Rockwell Collins,83
Tufts University,81
T. Rowe Price,80
University of Chicago,77
Louisiana State University,77
iHeartMedia,73
Baylor University,73
National Park Service,73
University of Louisville,72
Epic,72
Kohler Co.,70
EMC,70
American Electric Power,67
Loyola Marymount University,65
Retired,64
Stanford University School of Medicine,64
University of Dayton,63
The Ohio State University Wexner Medical Center,63
Scripps Health,62
Baylor College of Medicine,62
Liberty University,62
Rensselaer Polytechnic Institute,61
Life Time Inc.,60
"BAE Systems, Inc.",60
"Starwood Hotels & Resorts Worldwide, Inc.",59
Federal Bureau of Investigation (FBI),59
Michigan Technological University,58
Continental,57
ScribeAmerica,56
Total Quality Logistics,56
Coldwell Banker Residential Brokerage,55
NewYork-Presbyterian Hospital,51
Alpha Phi International Fraternity,50
Keurig Dr Pepper Inc.,49
Dana-Farber Cancer Institute,48
Grand Valley State University,48
St. Luke's University Health Network,48
Success Academy Charter Schools,46
The University of Texas at El Paso,45
Wake Forest University,45
Equinox,44
Amtrak,44
Azusa Pacific University,44
Abercrombie & Fitch Co.,42
MITRE,41
WellSpan Health,41
University of North Florida,40
Arvest Bank,40
Oxy,40
City National Bank,39
N/A,39
Harris Teeter,38
Blue Cross Blue Shield of Michigan,38
Citizens,38
Compass,38
Miami Dade College,38
Alight Solutions,37
UMass Memorial Medical Center,36
Flex,36
Florida Hospital,36
Boy Scouts of America,35
Fordham University,35
Breakthru Beverage Group,34
ICF,34
Eastern Michigan University,34
Pacific Lutheran University,34
First Citizens Bank,33
Better,33
Weber Shandwick,33
University of Nebraska at Omaha,33
Guidehouse,32
NRG Energy,32
Samsung Electronics America,32
NASA Goddard Space Flight Center,31
Confidential,31
The Scotts Miracle-Gro Company,31
Zeta Tau Alpha Fraternity,31
RTI International,31
Public Consulting Group,30
GSA,30
Armstrong World Industries,29
Banana Republic,29
Idaho State University,29
Duquesne University,28
Change Healthcare,28
L.L.Bean,28
Personal Projects,28
Publix Pharmacy,28
Stephen F. Austin State University,28
Wake County Public School System,28
MAC Cosmetics,27
Corteva Agriscience,27
Crowe,27
Chevron Phillips Chemical Company,27
Oak Ridge National Laboratory,27
Alpha Kappa Psi,26
Hobart and William Smith Colleges,26
Truman State University,26
Follett Higher Education,25
Tufts Medical Center,25
Magellan Health,25
Samaritan Health Services,25
American Tower,24
Baldwin Wallace University,24
jcpenney,24
